예상 비용 요약
선결제 비용,월별 비용,Total 12 months cost,통화
0,33.89,406.68,USD
,,* 선결제 비용 포함


세부 예상 비용
그룹 계층 구조,리전,설명,서비스,선결제,월별,First 12 months total,통화,구성 요약
My Estimate,미국 서부(오레곤),,Amazon EC2 ,0,19.18,230.16,USD,"테넌시 (공유 인스턴스), 운영 체제 (Linux), 워크로드 (Consistent, 인스턴스 수: 1), 고급 EC2 인스턴스 (t3.small), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), 모니터링 활성화 (비활성화됨), EBS 스토리지 크기 (40 GB), DT 인바운드: Not selected (0 월별 TB), DT 아웃바운드: Not selected (0 월별 TB), DT 리전 내: (0 월별 TB)"
My Estimate,미국 서부(오레곤),,Amazon RDS for MariaDB,0,14.71,176.52,USD,"스토리지 볼륨 (범용 SSD(gp2)), 스토리지 크기 (20 GB), 수량 (1), 인스턴스 유형 (db.t3.micro), 사용률(온디맨드 전용) (100 %Utilized/Month), 배포 선택 (Single-AZ), 요금 모델 (OnDemand)"



확인
"* AWS 요금 계산기는 AWS 요금에 대한 예상 비용만 제공하며, 해당되는 세금은 포함하지 않습니다. 실제 요금은 AWS 서비스의 실제 사용량을 포함하여 다양한 요소에 따라 달라질 수 있습니다."
